WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
1.237097756354530453e+00 1.255438862352620921e+00 1.248102419953384778e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.255438862352620921e+00 1.273779968350711389e+00 1.262775304751857064e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.273779968350711389e+00 1.292121074348802079e+00 1.284784631949565936e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.292121074348802079e+00 1.310462180346892769e+00 1.299457516748038444e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.310462180346892769e+00 1.332471507544601419e+00 1.321466843945747094e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.332471507544601419e+00 1.350812613542692109e+00 1.343476171143455966e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.350812613542692109e+00 1.369153719540782799e+00 1.358149055941928474e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.369153719540782799e+00 1.391163046738491449e+00 1.380158383139637124e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.391163046738491449e+00 1.413172373936200543e+00 1.402167710337345996e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.413172373936200543e+00 1.431513479934291011e+00 1.424177037535054868e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.431513479934291011e+00 1.449854585932381479e+00 1.438849922333527154e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.449854585932381479e+00 1.471863913130090573e+00 1.460859249531236026e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.471863913130090573e+00 1.493873240327799223e+00 1.482868576728944898e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.493873240327799223e+00 1.512214346325889913e+00 1.504877903926653548e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.512214346325889913e+00 1.530555452323980603e+00 1.519550788725126056e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.530555452323980603e+00 1.552564779521689253e+00 1.541560115922834928e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.552564779521689253e+00 1.574574106719397903e+00 1.563569443120543578e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.574574106719397903e+00 1.592915212717488593e+00 1.585578770318252229e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.592915212717488593e+00 1.611256318715579283e+00 1.600251655116724958e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.611256318715579283e+00 1.633265645913287933e+00 1.622260982314433608e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.633265645913287933e+00 1.655274973110996806e+00 1.644270309512142259e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.655274973110996806e+00 1.677284300308705678e+00 1.666279636709851353e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.677284300308705678e+00 1.695625406306796146e+00 1.688288963907560003e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.695625406306796146e+00 1.713966512304886836e+00 1.702961848706032288e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.713966512304886836e+00 1.735975839502595708e+00 1.724971175903741383e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.735975839502595708e+00 1.754316945500686176e+00 1.746980503101450033e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.754316945500686176e+00 1.772658051498776866e+00 1.761653387899922318e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.772658051498776866e+00 1.794667378696485738e+00 1.783662715097631413e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.794667378696485738e+00 1.813008484694576206e+00 1.805672042295340063e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.813008484694576206e+00 1.831349590692666895e+00 1.820344927093812348e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.831349590692666895e+00 1.853358917890375768e+00 1.842354254291521443e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.853358917890375768e+00 1.871700023888466236e+00 1.864363581489230093e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.871700023888466236e+00 1.890041129886556925e+00 1.879036466287702378e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.890041129886556925e+00 1.912050457084265798e+00 1.901045793485411473e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.912050457084265798e+00 1.930391563082356265e+00 1.923055120683120123e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.930391563082356265e+00 1.948732669080446955e+00 1.937728005481592408e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.948732669080446955e+00 1.967073775078537645e+00 1.959737332679301502e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.967073775078537645e+00 1.985414881076628113e+00 1.974410217477773788e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.985414881076628113e+00 2.003755987074718803e+00 1.996419544675482438e+00 1.000000000000000000e+01 1.000000000000000000e+00
