# WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
3.067591015844702174e+00 3.077550997772072083e+00 3.072571006808387128e+00 7.589532044880889394e+00 1.000000000000000000e+00
3.077550997772072083e+00 3.092490970663127392e+00 3.082530988735757038e+00 7.585131730159798913e+00 1.000000000000000000e+00
3.092490970663127392e+00 3.107430943554182701e+00 3.102450952590497746e+00 7.326220876863303921e+00 1.000000000000000000e+00
3.107430943554182701e+00 3.117390925481552610e+00 3.112410934517867656e+00 7.162865328459156800e+00 1.000000000000000000e+00
3.117390925481552610e+00 3.132330898372607919e+00 3.122370916445237565e+00 7.219658826676141672e+00 1.000000000000000000e+00
3.132330898372607919e+00 3.147270871263663228e+00 3.142290880299978273e+00 7.375021446325915164e+00 1.000000000000000000e+00
3.147270871263663228e+00 3.157230853191033138e+00 3.152250862227348183e+00 7.461610876825358396e+00 1.000000000000000000e+00
3.157230853191033138e+00 3.167190835118403491e+00 3.162210844154718092e+00 7.486378960369349578e+00 1.000000000000000000e+00
3.167190835118403491e+00 3.182130808009458356e+00 3.172170826082088446e+00 7.519137658176648031e+00 1.000000000000000000e+00
3.182130808009458356e+00 3.197070780900513665e+00 3.192090789936828710e+00 7.577737036976673224e+00 1.000000000000000000e+00
3.197070780900513665e+00 3.207030762827884018e+00 3.202050771864198619e+00 7.617734592782545278e+00 1.000000000000000000e+00
3.207030762827884018e+00 3.216990744755253928e+00 3.212010753791568973e+00 7.622424629123223383e+00 1.000000000000000000e+00
3.216990744755253928e+00 3.231930717646309237e+00 3.221970735718939327e+00 7.565378189400833620e+00 1.000000000000000000e+00
3.231930717646309237e+00 3.246870690537364545e+00 3.241890699573679147e+00 7.473043823184828405e+00 1.000000000000000000e+00
3.246870690537364545e+00 3.256830672464734455e+00 3.251850681501049500e+00 7.403894293797515402e+00 1.000000000000000000e+00
3.256830672464734455e+00 3.266790654392104809e+00 3.261810663428419854e+00 7.375243814524377051e+00 1.000000000000000000e+00
3.266790654392104809e+00 3.281730627283160118e+00 3.271770645355789764e+00 7.347882024366081843e+00 1.000000000000000000e+00
3.281730627283160118e+00 3.296670600174214982e+00 3.291690609210530027e+00 7.273999606816802910e+00 1.000000000000000000e+00
3.296670600174214982e+00 3.306630582101585336e+00 3.301650591137900381e+00 7.214693421992376621e+00 1.000000000000000000e+00
3.306630582101585336e+00 3.316590564028955246e+00 3.311610573065270291e+00 7.205833502337668506e+00 1.000000000000000000e+00
3.316590564028955246e+00 3.331530536920010555e+00 3.321570554992640201e+00 7.254399964641543797e+00 1.000000000000000000e+00
3.331530536920010555e+00 3.346470509811065863e+00 3.341490518847380908e+00 7.395957386612262319e+00 1.000000000000000000e+00
3.346470509811065863e+00 3.356430491738435773e+00 3.351450500774750818e+00 7.584755372117087724e+00 1.000000000000000000e+00
3.356430491738435773e+00 3.366390473665806127e+00 3.361410482702120728e+00 7.716659265415054314e+00 1.000000000000000000e+00
3.366390473665806127e+00 3.376350455593176036e+00 3.371370464629491082e+00 7.682975149187961428e+00 1.000000000000000000e+00
3.376350455593176036e+00 3.391290428484231345e+00 3.381330446556861435e+00 7.593898874419937606e+00 1.000000000000000000e+00
3.391290428484231345e+00 3.406230401375286654e+00 3.401250410411601255e+00 7.529734534580287963e+00 1.000000000000000000e+00
3.406230401375286654e+00 3.416190383302656564e+00 3.411210392338971609e+00 7.511427374730796913e+00 1.000000000000000000e+00
3.416190383302656564e+00 3.426150365230026917e+00 3.421170374266341963e+00 7.538497763285091580e+00 1.000000000000000000e+00
3.426150365230026917e+00 3.436110347157396827e+00 3.431130356193711872e+00 7.599817745306326700e+00 1.000000000000000000e+00
3.436110347157396827e+00 3.451050320048452136e+00 3.441090338121081782e+00 7.688420058727920114e+00 1.000000000000000000e+00
3.451050320048452136e+00 3.465990292939507444e+00 3.461010301975822490e+00 7.742355764478188185e+00 1.000000000000000000e+00
3.465990292939507444e+00 3.475950274866877354e+00 3.470970283903192399e+00 7.779284983598223846e+00 1.000000000000000000e+00
3.475950274866877354e+00 3.485910256794247708e+00 3.480930265830562309e+00 7.846603910459585940e+00 1.000000000000000000e+00
3.485910256794247708e+00 3.495870238721617618e+00 3.490890247757932663e+00 7.954855371548150700e+00 1.000000000000000000e+00
3.495870238721617618e+00 3.505830220648987972e+00 3.500850229685303017e+00 7.968484101870179082e+00 1.000000000000000000e+00
3.505830220648987972e+00 3.520770193540043280e+00 3.510810211612672926e+00 7.889085481959945412e+00 1.000000000000000000e+00
3.520770193540043280e+00 3.535710166431098145e+00 3.530730175467413190e+00 7.837836238471733274e+00 1.000000000000000000e+00
3.535710166431098145e+00 3.545670148358468499e+00 3.540690157394783544e+00 7.807131692441106274e+00 1.000000000000000000e+00
3.545670148358468499e+00 3.555630130285838408e+00 3.550650139322153453e+00 7.792292800795895147e+00 1.000000000000000000e+00
3.555630130285838408e+00 3.565590112213208762e+00 3.560610121249523363e+00 7.901936753173272265e+00 1.000000000000000000e+00
3.565590112213208762e+00 3.575550094140578672e+00 3.570570103176893717e+00 8.048845192892391864e+00 1.000000000000000000e+00
3.575550094140578672e+00 3.585510076067949026e+00 3.580530085104264071e+00 8.103041023818263966e+00 1.000000000000000000e+00
